"Type","Source","Destination","Alt Text","Length"
"Image","https://www.lifeusa.org/blogs","https://static.wixstatic.com/media/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.jpg/v1/fill/w_314,h_236,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.webp","Cold Kills 5 million a Year, Life for Relief and Development USA (LIFE)'s Winter Aid Helps Prevent This Tragedy ","112"
"Image","https://www.lifeusa.org/blogs","https://static.wixstatic.com/media/74d008_39a6fc8bc8b94d9b99452850a9f11aea~mv2.jpg/v1/fill/w_334,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_39a6fc8bc8b94d9b99452850a9f11aea~mv2.webp","Photo of a boy holding a portion of fresh meat from one of Life for Relief and Development's (LIFE) USA Udhiyah/Qurbani distributions.","134"
"Image","https://www.lifeusa.org/post/what-happens-when-you-can-t-see-in-a-refugee-camp","https://static.wixstatic.com/media/74d008_8b6caea3e9ef4d9f9a709a9c4cf16bc0~mv2.jpg/v1/fill/w_980,h_738,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_8b6caea3e9ef4d9f9a709a9c4cf16bc0~mv2.jpg","Photo of a baby receiving treatment at the Life for Relief and Development USA (LIFE) eye clinic in Bangladesh. ","112"
"Image","https://www.lifeusa.org/post/what-happens-when-you-can-t-see-in-a-refugee-camp","https://static.wixstatic.com/media/74d008_2659d1c0582a443abe21f88591e79231~mv2.jpg/v1/fill/w_980,h_1302,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_2659d1c0582a443abe21f88591e79231~mv2.jpg","Photo of a young man receiving an eye check-up at the Life for Relief and Development (LIFE) eye clinic.","104"
"Image","https://www.lifeusa.org/post/the-challenges-humanitarian-organizations-face-after-conflict-ends","https://static.wixstatic.com/media/74d008_ebfad58ff280410fbcc0dc7f3172cd94~mv2.jpg/v1/fill/w_980,h_594,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_ebfad58ff280410fbcc0dc7f3172cd94~mv2.jpg","Photo of Life for Relief and Development USA (LIFE) team members welcoming a young child into a clothing distribution. ","119"
"Image","https://www.lifeusa.org/post/the-challenges-humanitarian-organizations-face-after-conflict-ends","https://static.wixstatic.com/media/74d008_341c93d6973f4693be670dd92802a6cd~mv2.jpeg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_341c93d6973f4693be670dd92802a6cd~mv2.jpeg","Photo of a young girl in Gaza holding fresh canned Udhiyah meat from Life for Relief and Development USA (LIFE). ","113"
"Image","https://www.lifeusa.org/post/the-challenges-humanitarian-organizations-face-after-conflict-ends","https://static.wixstatic.com/media/74d008_5d94dff0a7b447abaab12feb15bf4388~mv2.jpg/v1/fill/w_980,h_551,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_5d94dff0a7b447abaab12feb15bf4388~mv2.jpg","Photo of a Life for Relief and Development USA (LIFE) team member giving a man in Gaza a food basket. ","102"
"Image","https://www.lifeusa.org/post/monsoon-flood-in-northern-pakistan-takes-everything-from-villagers-life-usa-helps-families-rebuild","https://static.wixstatic.com/media/74d008_087bf460aca74c4c9dd062be1f2da7f9~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_087bf460aca74c4c9dd062be1f2da7f9~mv2.jpg","Photo of Life for Relief and Development USA (LIFE) team member serving hot meals to families in need. ","103"
"Image","https://www.lifeusa.org/no","https://static.wixstatic.com/media/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.jpeg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.webp","Fighting Hunger in Somalia: Life for Relief and Development (LIFE)’s Food Distribution Reaches Displaced Families ","114"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.jpeg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.webp","Fighting Hunger in Somalia: Life for Relief and Development (LIFE)’s Food Distribution Reaches Displaced Families ","114"
"Image","https://www.lifeusa.org/news","https://static.wixstatic.com/media/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.jpeg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.webp","Fighting Hunger in Somalia: Life for Relief and Development (LIFE)’s Food Distribution Reaches Displaced Families ","114"
"Image","https://www.lifeusa.org/no","https://static.wixstatic.com/media/74d008_7326d883078243868c3c0631bbb3f61c~mv2.png/v1/fill/w_333,h_250,fp_0.50_0.50,q_35,blur_30,enc_avif,quality_auto/74d008_7326d883078243868c3c0631bbb3f61c~mv2.webp","Respite and Joy Provided to Hundreds of Gaza Orphans Through Life for Relief and Development (LIFE)’s Eid Party Celebration ","124"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_7326d883078243868c3c0631bbb3f61c~mv2.png/v1/fill/w_333,h_250,fp_0.50_0.50,q_35,blur_30,enc_avif,quality_auto/74d008_7326d883078243868c3c0631bbb3f61c~mv2.webp","Respite and Joy Provided to Hundreds of Gaza Orphans Through Life for Relief and Development (LIFE)’s Eid Party Celebration ","124"
"Image","https://www.lifeusa.org/news","https://static.wixstatic.com/media/74d008_7326d883078243868c3c0631bbb3f61c~mv2.png/v1/fill/w_333,h_250,fp_0.50_0.50,q_35,blur_30,enc_avif,quality_auto/74d008_7326d883078243868c3c0631bbb3f61c~mv2.webp","Respite and Joy Provided to Hundreds of Gaza Orphans Through Life for Relief and Development (LIFE)’s Eid Party Celebration ","124"
"Image","https://www.lifeusa.org/no","https://static.wixstatic.com/media/74d008_1ec23774ae2947beb7f0106d0971e777~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_1ec23774ae2947beb7f0106d0971e777~mv2.webp","Clean Water, New Possibilities Through Life for Relief and Development (LIFE)’s Water Well Projects in Ghana ","109"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_1ec23774ae2947beb7f0106d0971e777~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_1ec23774ae2947beb7f0106d0971e777~mv2.webp","Clean Water, New Possibilities Through Life for Relief and Development (LIFE)’s Water Well Projects in Ghana ","109"
"Image","https://www.lifeusa.org/news","https://static.wixstatic.com/media/74d008_1ec23774ae2947beb7f0106d0971e777~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_1ec23774ae2947beb7f0106d0971e777~mv2.webp","Clean Water, New Possibilities Through Life for Relief and Development (LIFE)’s Water Well Projects in Ghana ","109"
"Image","https://www.lifeusa.org/no","https://static.wixstatic.com/media/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.webp","Hope Returns to the Classroom Through Life for Relief and Development (LIFE)’s Orphan Sponsorship in Kenya ","107"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.webp","Hope Returns to the Classroom Through Life for Relief and Development (LIFE)’s Orphan Sponsorship in Kenya ","107"
"Image","https://www.lifeusa.org/news","https://static.wixstatic.com/media/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.webp","Hope Returns to the Classroom Through Life for Relief and Development (LIFE)’s Orphan Sponsorship in Kenya ","107"
"Image","https://www.lifeusa.org/no","https://static.wixstatic.com/media/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.jpg/v1/fill/w_292,h_219,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.webp","Hope Returns to the Classroom Through Life for Relief and Development (LIFE)’s Orphan Sponsorship in Kenya ","107"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.jpg/v1/fill/w_292,h_219,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_57afafc9fbf64e7585702e25f631dd3e~mv2.webp","Hope Returns to the Classroom Through Life for Relief and Development (LIFE)’s Orphan Sponsorship in Kenya ","107"
"Image","https://www.lifeusa.org/no","https://static.wixstatic.com/media/74d008_a30bae0f77e14fc0ba0c5e237dbf0050~mv2.jpg/v1/fill/w_292,h_219,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_a30bae0f77e14fc0ba0c5e237dbf0050~mv2.webp","Clean Water for Students as Life for Relief and Development (LIFE) Installs Solar Water Wells in Pakistan","105"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_a30bae0f77e14fc0ba0c5e237dbf0050~mv2.jpg/v1/fill/w_292,h_219,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_a30bae0f77e14fc0ba0c5e237dbf0050~mv2.webp","Clean Water for Students as Life for Relief and Development (LIFE) Installs Solar Water Wells in Pakistan","105"
"Image","https://www.lifeusa.org/no","https://static.wixstatic.com/media/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.jpeg/v1/fill/w_292,h_219,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.webp","Fighting Hunger in Somalia: Life for Relief and Development (LIFE)’s Food Distribution Reaches Displaced Families ","114"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.jpeg/v1/fill/w_292,h_219,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.webp","Fighting Hunger in Somalia: Life for Relief and Development (LIFE)’s Food Distribution Reaches Displaced Families ","114"
"Image","https://www.lifeusa.org/no/categories/life-blog","https://static.wixstatic.com/media/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.jpg/v1/fill/w_292,h_219,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.webp","Cold Kills 5 million a Year, Life for Relief and Development USA (LIFE)'s Winter Aid Helps Prevent This Tragedy ","112"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_1a87b8341b974d61b23ea37cb1c1ab9b~mv2.png/v1/fill/w_333,h_250,fp_0.50_0.50,q_35,blur_30,enc_avif,quality_auto/74d008_1a87b8341b974d61b23ea37cb1c1ab9b~mv2.webp","Life for Relief and Development (LIFE) Delivers Emergency Food and Water Assistance in Gaza Through Solar-Powered Filtration","124"
"Image","https://www.lifeusa.org/news","https://static.wixstatic.com/media/74d008_1a87b8341b974d61b23ea37cb1c1ab9b~mv2.png/v1/fill/w_333,h_250,fp_0.50_0.50,q_35,blur_30,enc_avif,quality_auto/74d008_1a87b8341b974d61b23ea37cb1c1ab9b~mv2.webp","Life for Relief and Development (LIFE) Delivers Emergency Food and Water Assistance in Gaza Through Solar-Powered Filtration","124"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_4a7d8a125b7840e885885b98ff93248a~mv2.jpg/v1/fill/w_292,h_219,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_4a7d8a125b7840e885885b98ff93248a~mv2.webp","Life for Relief and Development (LIFE) USA Restores Shelter and Safety for 8,050 Displaced Individuals in Gaza","110"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_4a7d8a125b7840e885885b98ff93248a~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_4a7d8a125b7840e885885b98ff93248a~mv2.webp","Life for Relief and Development (LIFE) USA Restores Shelter and Safety for 8,050 Displaced Individuals in Gaza","110"
"Image","https://www.lifeusa.org/news","https://static.wixstatic.com/media/74d008_4a7d8a125b7840e885885b98ff93248a~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_4a7d8a125b7840e885885b98ff93248a~mv2.webp","Life for Relief and Development (LIFE) USA Restores Shelter and Safety for 8,050 Displaced Individuals in Gaza","110"
"Image","https://www.lifeusa.org/no/categories/reports","https://static.wixstatic.com/media/74d008_1a87b8341b974d61b23ea37cb1c1ab9b~mv2.png/v1/fill/w_292,h_219,fp_0.50_0.50,q_95,enc_avif,quality_auto/74d008_1a87b8341b974d61b23ea37cb1c1ab9b~mv2.webp","Life for Relief and Development (LIFE) Delivers Emergency Food and Water Assistance in Gaza Through Solar-Powered Filtration","124"
"Image","https://www.lifeusa.org/post/women-s-empowerment-the-key-to-solving-world-hunger","https://static.wixstatic.com/media/74d008_66c17d6ff99d4cb3b21264f7290155c2~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_66c17d6ff99d4cb3b21264f7290155c2~mv2.jpg","Photo of a young girl holding up her Life for Relief and Development (LIFE) backpack filled with school supplies. ","114"
"Image","https://www.lifeusa.org/post/women-s-empowerment-the-key-to-solving-world-hunger","https://static.wixstatic.com/media/74d008_a66bb63990f346dbaab1d28bf1bfd614~mv2.jpg/v1/fill/w_980,h_576,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_a66bb63990f346dbaab1d28bf1bfd614~mv2.jpg","Photo of the Life for Relief and Development (LIFE) team distributing baby formula and diapers to mothers in Gaza. ","115"
"Image","https://www.lifeusa.org/post/women-s-empowerment-the-key-to-solving-world-hunger","https://static.wixstatic.com/media/74d008_4334c73515fc4a2cafa4d77584cebd3a~mv2.jpg/v1/fill/w_980,h_550,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_4334c73515fc4a2cafa4d77584cebd3a~mv2.jpg","Photo of young women attending university classes as a part of LIFE's higher education project in Syria. ","105"
"Image","https://www.lifeusa.org/post/women-s-empowerment-the-key-to-solving-world-hunger","https://static.wixstatic.com/media/74d008_1f65aebf4972493b9382184207a38fc0~mv2.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_1f65aebf4972493b9382184207a38fc0~mv2.jpg","



Photo of two young girls in Afghanistan enjoying fresh, clean water from a newly built Life for Relief and Development (LIFE) water well. 

","144"
"Image","https://www.lifeusa.org/post/women-s-empowerment-the-key-to-solving-world-hunger","https://static.wixstatic.com/media/74d008_55c4c5d2d813488c81b082e32720a76d~mv2.jpg/v1/fill/w_980,h_551,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_55c4c5d2d813488c81b082e32720a76d~mv2.jpg","Photo of the Life for Relief and Development (LIFE) team distributing baby formula and diapers to mothers in Gaza. ","115"
"Image","https://www.lifeusa.org/post/life-supports-mothers-and-orphans-in-gaza-with-critical-baby-formula-and-other-essentials","https://static.wixstatic.com/media/74d008_55c4c5d2d813488c81b082e32720a76d~mv2.jpg/v1/fill/w_980,h_551,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_55c4c5d2d813488c81b082e32720a76d~mv2.jpg","","0"
"Image","https://www.lifeusa.org/post/life-supports-mothers-and-orphans-in-gaza-with-critical-baby-formula-and-other-essentials","https://static.wixstatic.com/media/74d008_55c4c5d2d813488c81b082e32720a76d~mv2.jpg/v1/fill/w_980,h_551,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_55c4c5d2d813488c81b082e32720a76d~mv2.jpg","","0"
"Image","https://www.lifeusa.org/post/afghanistan-s-earthquake-stories-of-survival-and-relief","https://static.wixstatic.com/media/74d008_ce2f976467ea447c8bf0ba4a8c4284b3~mv2.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_ce2f976467ea447c8bf0ba4a8c4284b3~mv2.jpg","Photo of a man receiving food and essentials from the Life for Relief and Development USA (LIFE) team in Afghanistan. ","118"
"Image","https://www.lifeusa.org/post/afghanistan-s-earthquake-stories-of-survival-and-relief","https://static.wixstatic.com/media/74d008_ffe9a7369d00418fa4a8ffca1b88d4c6~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_ffe9a7369d00418fa4a8ffca1b88d4c6~mv2.jpg","Photo of a father and his son receiving medical care from the Life for Relief and Development USA (LIFE) team in Afghanistan. ","126"
"Image","https://www.lifeusa.org/post/children-forced-to-sleep-in-cars-and-on-the-streets-as-over-800-000-are-displaced-in-lebanon","https://static.wixstatic.com/media/74d008_c724cf67592d41e9ad1a454a4a278ee5~mv2.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_c724cf67592d41e9ad1a454a4a278ee5~mv2.jpg","Photo of Life for Relief and Development (LIFE) team distributing food aid in affected areas in Lebanon. ","105"
"Image","https://www.lifeusa.org/post/starvation-in-gaza-why-the-world-must-act-now-before-thousands-more-die","https://static.wixstatic.com/media/74d008_d6e51b9da833447e86d0198d63ab7bbc~mv2.jpg/v1/fill/w_980,h_551,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_d6e51b9da833447e86d0198d63ab7bbc~mv2.jpg","Photo of a Life for Relief and Development USA (LIFE) team member giving a young girl a hot meal in Gaza. ","106"
"Image","https://www.lifeusa.org/news","https://static.wixstatic.com/media/74d008_1ec23774ae2947beb7f0106d0971e777~mv2.jpg/v1/fill/w_302,h_227,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_1ec23774ae2947beb7f0106d0971e777~mv2.webp","Clean Water, New Possibilities Through Life for Relief and Development (LIFE)’s Water Well Projects in Ghana ","109"
"Image","https://www.lifeusa.org/news","https://static.wixstatic.com/media/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.jpeg/v1/fill/w_302,h_227,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_24db9bb0d32f4b919a04de8c3c214d18~mv2.webp","Fighting Hunger in Somalia: Life for Relief and Development (LIFE)’s Food Distribution Reaches Displaced Families ","114"
"Image","https://www.lifeusa.org/news","https://static.wixstatic.com/media/74d008_4a7d8a125b7840e885885b98ff93248a~mv2.jpg/v1/fill/w_302,h_227,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_4a7d8a125b7840e885885b98ff93248a~mv2.webp","Life for Relief and Development (LIFE) USA Restores Shelter and Safety for 8,050 Displaced Individuals in Gaza","110"
"Image","https://www.lifeusa.org/post/write-your-will-for-free-and-let-the-good-you-do-today-last-forever","https://static.wixstatic.com/media/74d008_8aaf024946e44f42b5c9dc07d82f1ba6~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_8aaf024946e44f42b5c9dc07d82f1ba6~mv2.jpg","Photo of a group of boys smiling in front of the new LIFE water well in Pakistan. ","82"
"Image","https://www.lifeusa.org/post/the-challenges-humanitarian-organizations-face-after-conflict-ends","https://static.wixstatic.com/media/74d008_8aaf024946e44f42b5c9dc07d82f1ba6~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_8aaf024946e44f42b5c9dc07d82f1ba6~mv2.jpg","Photo of young boys in Pakistan smiling beside a brand-new Life for Relief and Development USA (LIFE) water well. ","114"
"Image","https://www.lifeusa.org/post/winter-flooding-in-gaza-leaves-families-cold-and-exhausted","https://static.wixstatic.com/media/74d008_05f7596afec647e9811e48d09cffc7f3~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_05f7596afec647e9811e48d09cffc7f3~mv2.jpg","Photo of a Life for Relief and Development USA (LIFE) team member giving Hassan winter relief aid in Gaza. ","107"
"Image","https://www.lifeusa.org/post/winter-flooding-in-gaza-leaves-families-cold-and-exhausted","https://static.wixstatic.com/media/74d008_471678df05cc4a68b074c97a0b738b4c~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_471678df05cc4a68b074c97a0b738b4c~mv2.jpg","Photo of a Life for Relief and Development (LIFE) team member in Gaza giving Maryam a winter coat and shoes.","108"
"Image","https://www.lifeusa.org/post/winter-flooding-in-gaza-leaves-families-cold-and-exhausted","https://static.wixstatic.com/media/74d008_c21cf8f2b10e42ae89ae4ae8f4a518d6~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_c21cf8f2b10e42ae89ae4ae8f4a518d6~mv2.jpg","Photo of a Life for Relief and Development USA (LIFE) team member giving a young boy in Gaza a jacket. ","103"
"Image","https://www.lifeusa.org/post/school-supplies-could-be-the-key-to-ending-poverty","https://static.wixstatic.com/media/74d008_4a22ec4632664108a1687e8ae18d5c78~mv2.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_4a22ec4632664108a1687e8ae18d5c78~mv2.jpg","Photo of a young boy receiving a Life for Relief and Development USA (LIFE) backpack from a LIFE team member in Egypt.","118"
"Image","https://www.lifeusa.org/post/winter-flooding-in-gaza-leaves-families-cold-and-exhausted","https://static.wixstatic.com/media/74d008_9b379ebee6ae45cfb7c49d1004897229~mv2.jpg/v1/fill/w_980,h_547,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_9b379ebee6ae45cfb7c49d1004897229~mv2.jpg","Photo of a little girl standing in front of a Life for Relief and Development USA (LIFE) tent in Gaza. ","103"
"Image","https://www.lifeusa.org/post/school-supplies-could-be-the-key-to-ending-poverty","https://static.wixstatic.com/media/74d008_c4b57377cb23443ca7752d9cb9293788~mv2.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_c4b57377cb23443ca7752d9cb9293788~mv2.jpg","Photo of a young girl receiving a Life for Relief and Development USA (LIFE) backpack from a LIFE team member in Afghanistan.
","126"
"Image","https://www.lifeusa.org/post/cold-kills-5-million-a-year-life-s-winter-aid-helps-prevent-this-tragedy","https://static.wixstatic.com/media/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.jpg","Photo of a Life for Relief and Development USA (LIFE) team member giving a young child in Gaza a winter coat.","109"
