"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_b793d0c2e2764fafacc53740feaddc7e~mv2.jpg/v1/fill/w_495,h_508,al_c,q_80,enc_avif,quality_auto/6df904_b793d0c2e2764fafacc53740feaddc7e~mv2.jpg","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[6]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_b793d0c2e2764fafacc53740feaddc7e~mv2.jpg/v1/fill/w_495,h_508,al_c,q_80,enc_avif,quality_auto/6df904_b793d0c2e2764fafacc53740feaddc7e~mv2.jpg","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[26]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_0724e516d603480eb54204a23ed3e599~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_0724e516d603480eb54204a23ed3e599~mv2.png","thomson-reuters-foundation","26","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[10]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_0724e516d603480eb54204a23ed3e599~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_0724e516d603480eb54204a23ed3e599~mv2.png","thomson-reuters-foundation","26","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[30]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_0724e516d603480eb54204a23ed3e599~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_0724e516d603480eb54204a23ed3e599~mv2.png","thomson-reuters-foundation","26","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[2]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_0724e516d603480eb54204a23ed3e599~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_0724e516d603480eb54204a23ed3e599~mv2.png","thomson-reuters-foundation","26","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[14]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_56072279a592464c8eab54e908ba31d9~mv2.jpg/v1/fill/w_495,h_508,al_c,q_80,enc_avif,quality_auto/6df904_56072279a592464c8eab54e908ba31d9~mv2.jpg","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[8]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_56072279a592464c8eab54e908ba31d9~mv2.jpg/v1/fill/w_495,h_508,al_c,q_80,enc_avif,quality_auto/6df904_56072279a592464c8eab54e908ba31d9~mv2.jpg","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[28]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_e2ade14bcc314b7a9d7d05ec4426bb02~mv2.png/v1/fill/w_147,h_260,q_90,enc_avif,quality_auto/6df904_e2ade14bcc314b7a9d7d05ec4426bb02~mv2.png","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-mmaovhoe']/div/div/div/div/div/div[@class='pro-gallery-parent-container']/div/div/a[@class='item-link-wrapper'][4]/div/div[2]/div/div/picture/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.jpg/v1/fill/w_305,h_229,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.webp","Children in Crisis: The Psychological Toll of Violence  ","56","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474ta1']/div[2]/div/div[@id='comp-lfcp8bgr']/div/div/div/div/div/div/div/div/div/div/div[@class='pro-gallery-parent-container']/div/div/div[@class='item-link-wrapper'][3]/div/div[2]/div/div/picture[@id='multi_picture_undefined'][2]/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_5f47e8f8d7e4434888883330b7f7cb57~mv2.png/v1/fill/w_980,h_217,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/6df904_5f47e8f8d7e4434888883330b7f7cb57~mv2.png","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474t9']/div[2]/div/div/div[@class='CKet9C']/div[3]/a/gallery-image-sizer/div/div/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_b89658f93f7d435b81bb92f57a906506~mv2.png/v1/fill/w_146,h_260,q_90,enc_avif,quality_auto/6df904_b89658f93f7d435b81bb92f57a906506~mv2.png","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-mmaovhoe']/div/div/div/div/div/div[@class='pro-gallery-parent-container']/div/div/div[@class='item-link-wrapper'][2]/div/div[2]/div/div/picture/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/74d008_54b00c8396124ccbbf6558c8c680bff6~mv2.jpg/v1/fill/w_334,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_54b00c8396124ccbbf6558c8c680bff6~mv2.webp","The World Keeps Making More Plastic, and the Cost is Human","58","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474ta1']/div[2]/div/div[@id='comp-lfcp8bgr']/div/div/div/div/div/div/div/div/div/div/div[@class='pro-gallery-parent-container']/div/div/div[@class='item-link-wrapper'][2]/div/div[2]/div/div/picture[@id='multi_picture_undefined'][1]/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/blogs","https://static.wixstatic.com/media/74d008_54b00c8396124ccbbf6558c8c680bff6~mv2.jpg/v1/fill/w_334,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_54b00c8396124ccbbf6558c8c680bff6~mv2.webp","The World Keeps Making More Plastic, and the Cost is Human","58","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474rj']/div[2]/div/div/div/div/div/div/div/div/div[1]/div/div/div/div[@class='pro-gallery-parent-container']/div/div/div[@class='item-link-wrapper'][2]/div/div[2]/div/div/picture[@id='multi_picture_undefined'][1]/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png","UNDP","4","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[9]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png","UNDP","4","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[29]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png","UNDP","4","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[1]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png","UNDP","4","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[13]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_7d6faef668ef4455aa99979ab468c141~mv2.jpg/v1/fill/w_495,h_508,al_c,q_80,enc_avif,quality_auto/6df904_7d6faef668ef4455aa99979ab468c141~mv2.jpg","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[3]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_7d6faef668ef4455aa99979ab468c141~mv2.jpg/v1/fill/w_495,h_508,al_c,q_80,enc_avif,quality_auto/6df904_7d6faef668ef4455aa99979ab468c141~mv2.jpg","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[23]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_9fe524cf8526494c8a321c45252d2b29~mv2.jpg/v1/fill/w_495,h_508,al_c,q_80,enc_avif,quality_auto/6df904_9fe524cf8526494c8a321c45252d2b29~mv2.jpg","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[5]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_9fe524cf8526494c8a321c45252d2b29~mv2.jpg/v1/fill/w_495,h_508,al_c,q_80,enc_avif,quality_auto/6df904_9fe524cf8526494c8a321c45252d2b29~mv2.jpg","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[25]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.webp","Children in Crisis: The Psychological Toll of Violence  ","56","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474ta1']/div[2]/div/div[@id='comp-lfcp8bgr']/div/div/div/div/div/div/div/div/div/div/div[@class='pro-gallery-parent-container']/div/div/div[@class='item-link-wrapper'][3]/div/div[2]/div/div/picture[@id='multi_picture_undefined'][1]/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/blogs","https://static.wixstatic.com/media/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.webp","Children in Crisis: The Psychological Toll of Violence  ","56","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474rj']/div[2]/div/div/div/div/div/div/div/div/div[1]/div/div/div/div[@class='pro-gallery-parent-container']/div/div/div[@class='item-link-wrapper'][3]/div/div[2]/div/div/picture[@id='multi_picture_undefined'][1]/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/no","https://static.wixstatic.com/media/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.webp","Children in Crisis: The Psychological Toll of Violence  ","56","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div/div[@id='content-wrapper']/div[2]/div[@class='zp8IQu']/div/div/div[1]/div/div/div[@class='pro-gallery-parent-container']/div/div/div[@class='item-link-wrapper'][3]/div/div[2]/div/div/picture[@id='multi_picture_undefined'][1]/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/no/categories/life-blog","https://static.wixstatic.com/media/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_32b97fd064514478bc3f716a2a003b9d~mv2.webp","Children in Crisis: The Psychological Toll of Violence  ","56","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div/div[@id='content-wrapper']/div[2]/div/div[@class='zp8IQu']/div/div/div[1]/div/div/div[@class='pro-gallery-parent-container']/div/div/div[@class='item-link-wrapper'][3]/div/div[2]/div/div/picture[@id='multi_picture_undefined'][1]/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_eff1a2106490473e9db89534de30a7b9~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_eff1a2106490473e9db89534de30a7b9~mv2.png","Araha","5","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[14]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_eff1a2106490473e9db89534de30a7b9~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_eff1a2106490473e9db89534de30a7b9~mv2.png","Araha","5","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[34]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_eff1a2106490473e9db89534de30a7b9~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_eff1a2106490473e9db89534de30a7b9~mv2.png","Araha","5","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[6]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_eff1a2106490473e9db89534de30a7b9~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_eff1a2106490473e9db89534de30a7b9~mv2.png","Araha","5","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[18]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_e5b55de04136484985205eebca17035e~mv2.png/v1/fill/w_980,h_551,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/6df904_e5b55de04136484985205eebca17035e~mv2.png","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[1]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
